label	dados
HORARIO	Que horas abre a biblioteca?
HORARIO	Tá aberto
NORMALIZACAO	regras da ABNT
HORARIO	horário de funcionamento
NORMALIZACAO	mais sobre normalização
DOACAO	Vocês aceitam recortes de jornais antigos sobre artistas estrangeiros?
DOACAO	voces recebem doações?
DOACAO	gostaria de fazer uma doação
FICHA_CATALOGRAFICA	gostaria de fazer uma ficha catalográfica
FICHA_CATALOGRAFICA	Entreguei na secretaria a ficha catalográfica
ACESSO_A_RECURSOS	Gostaria de obter acesso, mas não consigo abrir no sistema Dédalus, vcs podem me auxiliar em procedimentos?
DOACAO	Gostaria de doar um livro para a biblioteca
NORMALIZACAO	Como funcionam as normas da ABNT?
DOACAO	Posso doar enciclopédia?
DOACAO	Vocês aceitam doação de enciclopédias?
ACESSO_A_RECURSOS	Por que a minha senha do "Minha Biblioteca" não funciona mais?
ACESSO_A_RECURSOS	Por que o "Minha Biblioteca" não abre?
EMPRÉSTIMO	Devolvi o livro, mas continuo recebendo cobrança.
NORMALIZACAO	Existe manual de TCC?
NORMALIZACAO	Onde encontro as normas de TCC?
ACESSO_A_RECURSOS	Quero o PDF desse artigo X
ACESSO_A_RECURSOS	Não encontro o PDF desse artigo X
ACESSO_A_RECURSOS	Não encontro o PDF desses artigos XX
ACESSO_A_RECURSOS	Tem versão PDF desse livro X?
ACESSO_A_RECURSOS	Tem versão PDF oficial desses livros?
ACESSO_A_RECURSOS	O que é base DOSS?
AJUDA_TECNICA	Não consigo acessar VPN de casa.
AJUDA_TECNICA	O VPN não funciona em casa.
AJUDA_TECNICA	Eu coloco a senha no VPN e ele não funciona.
NORMALIZACAO	A referência desse artigo está correta?
NORMALIZACAO	Como faço referências de artigo na norma ABNT?
NORMALIZACAO	Como faço referência de livro na norma ABNT?
NORMALIZACAO	Onde acesso o manual de referência ABNT?
NORMALIZACAO	Onde acesso o manual de citação ABNT?
NORMALIZACAO	Onde encontro a norma de publicação da revista X
NORMALIZACAO	Preciso agradecer a Capes na minha dissertação?
IDENTIFICADORES	Como eu sei o número do meu ORCID?
PUBLICACAO	Como faço para publicar meu artigo?
NORMALIZACAO	como citar textos com mais de 3 autores?
NORMALIZACAO	como fazer referência de artigo científico?
NORMALIZACAO	como citar informação coletada em palestra?
IDENTIFICADORES	como faço meu currículo Lattes?
NORMALIZACAO	as referências são justificadas ou alinhadas à esquerda?
NORMALIZACAO	como referencio uma lei?
REPOSITORIO	o que é repositório institucional?
HORARIO	Qual é o horário de funcionamento?
HORARIO	A biblioteca atende aos sábados?
ACESSO_A_RECURSOS	Como faço para acessar o texto desta tese? Não consegui abrir
REGULAMENTO	Quanto tempo posso ficar com o livro?
REGULAMENTO	Quem não é da universidade pode usar a biblioteca?
ACESSO_A_RECURSOS	O material da biblioteca está digitalizado?
NORMALIZACAO	Posso citar textos de blogs?
NORMALIZACAO	Como faço para citar imagens?
NORMALIZACAO	Como faço referência de site?
NORMALIZACAO	Vocês podem me auxiliar na normalização do  meu trabalho / artigo / tese:
REGULAMENTO	Quantas vezes posso renovar?
REGULAMENTO	Não consegui fazer a renovação pela web, vocês podem me ajudar?
REPOSITORIO	Como envio o meu trabalho para o repositório?
HORARIO	Fica aberto ao meio-dia?
HORARIO	Que horas fecha a biblioteca?
HORARIO	Abre nos finais de semana?
REGULAMENTO	Como faz para pegar livros?
REGULAMENTO	Mas eu não tenho comprovante de endereço aqui, posso levar um livro?
REGULAMENTO	Quero renovar, mas meu livro está atrasado, como fazer?
DOACAO	Vocês recebem livros didáticos?
REGULAMENTO	O livro está emprestado, vocês podem reservar para mim?
HORARIO	Vocês abrem sábado?
EMPRÉSTIMO	Meu livro não foi devolvido
EMPRÉSTIMO	Como está funcionando a questão de empréstimo de livros durante o isolamento social?
EMPRÉSTIMO	Gostaria de saber se consigo retirar livros
EMPRÉSTIMO	Tentei renovar meus empréstimos pelo sistema dedalus. Porém, o sistema está fora do ar. Como proceder?
DEVOLUÇÃO	Como está a questão de atrasos na devolução de livros devido a interrupção das atividades da USP?
DEVOLUÇÃO	Estou com alguns livros da biblioteca, já a mais de um mês, não faço ideia de como devolver
ACESSO_A_RECURSOS	Eu preciso urgente de um livro da biblioteca, mas ela está fechada, então gostaria de saber se ele existe num formato ebook
ACESSO_A_RECURSOS	Como acessar isso?
ACESSO_A_RECURSOS	Eu procurei na internet e não consegui encontrá-lo. Eu vi no Dedalus que existe uma cópia do Periódico na biblioteca. Gostaria de saber como faço para ter acesso, neste tempo de quarentena.
HORARIO	A biblioteca está funcionando?
RENOVAÇÃO	Estou com livros para vencer a ultima renovação, eu preciso ir até a biblioteca renovar?
RENOVAÇÃO	pode ser renovado online?
RENOVAÇÃO	Gostaria de saber se posso renovar o empréstimo de um livro pelo whatsapp mesmo? Ou só pelo site?
DEVOLUÇÃO	Eu atrasei a entrega do livro em um dia, quais as orientações em relação a isso?
REGULAMENTO	A biblioteca é aberta para quem não é aluno?
REGULAMENTO	Se eu realizar a entrega deste livros atrasados, terei algum problema em realizar a matrícula?
RENOVAÇÃO	Será que tem como eu fazer a renovação do livro sem ter que ir até a biblioteca ou mudar a data de devolução para amanhã?
HORARIO	Como funciona o horário desta biblioteca, ela é 24hrs, correto?
DEVOLUÇÃO	Estou recebendo e-mails cobrando a entrega do livro, o mesmo que já entreguei.
HORARIO	E os sábados domingo feriados está aberta para pessoal da USP?
NORMAS_ABNT	Quando eu quiser, muito eventualmente, posso solicitar informações sobre as normas da ABNT?
DEVOLUÇÃO	Eu esqueci voltar os livros que emprestei, pode me esperar para amanhã?
TRABALHOS_TECNICOS	Poderia me ajudar com duas questões com relação à CDD? Existe um link onde eu possa a consultar inclusive com as casas decimais?
ACESSO_A_RECURSOS	Você poderia me enviar a tese completa, por favor?
INFRAESTRUTURA	Há previsão para o conserto do ar-condicionado?
DOACAO	Vocês aceitam doações?
DOACAO	Como faço para doar um livro?
SOBRE_A_BIBLIOTECA	História da Instituição e da Biblioteca.
RESTRICOES	Posso fotograr?
SERVICOS	Vocês tiram cópia?
COLEÇÃO RARA OU ESPECIAL	 A biblioteca possui obras raras?
COLEÇÃO RARA OU ESPECIAL	Como ter acesso as obras raras da instituição?
COLEÇÃO RARA OU ESPECIAL	Quais procedimentos são necessários para pesquisar no acervo raro?
COLEÇÃO RARA OU ESPECIAL	Preciso de luvas e máscara para utilizar o acervo de obras raras e coleção especial?
COLEÇÃO RARA OU ESPECIAL	Existe registro das marcas de proveniência no catálogo?
COLEÇÃO RARA OU ESPECIAL	Tem ex-libris na coleção?
COLEÇÃO RARA OU ESPECIAL	Tem que marcar hora para poder acessar a coleção?
COLEÇÃO RARA OU ESPECIAL	Posso pesquisar em quantas obras de uma vez?
COLEÇÃO RARA OU ESPECIAL	A biblioteca faz empréstimo entre bibliotecas de acervo raro?
COLEÇÃO RARA OU ESPECIAL	O acervo raro está disponível de forma digital?
